sample,sample@sample,赤,フランス,2017/06/03/03:25:34
sample,sample@sample,ロゼ,フランス イタリア,2017/06/03/03:25:42
sample,sample@sample,白,フランス イタリア 南アフリカ 日本,2017/06/03/03:27:46
sample,sample@sample,ロゼ,フランス スペイン オーストラリア 日本,2017/06/03/03:28:14
www,www@www,白,フランス スペイン チリ アルゼンチン,2019/01/24/12:58:04
wwww,wwwwwww,赤,イタリア スペイン ドイツ オーストラリア ニュージーランド 南アフリカ,2019/01/26/08:30:04
e,rrrr,赤,イタリア オーストラリア アメリカ,2019/01/26/08:30:25
qqq,qqqqq,白,フランス スペイン ドイツ オーストラリア,2019/01/26/08:55:26
ttt,ttttt,赤,フランス スペイン ドイツ オーストラリア ニュージーランド,2019/01/26/08:56:41
yyy,yyyyy,ロゼ,フランス ドイツ チリ オーストラリア,2019/01/26/08:58:42
,,,,2019/02/02/03:51:44
wwww,wwwwwww,赤,スペイン チリ オーストラリア 南アフリカ,2019/05/24/06:57:50
www,ewdadwad,赤,フランス スペイン チリ 南アフリカ,2019/06/01/08:27:52
wwww,qqqqqq,白,フランス ドイツ 南アフリカ,2019/09/28/10:56:52
test,test@example.om,赤,イタリア アルゼンチン 南アフリカ 日本,2019/12/03/07:02:14
,,,,2020/06/02/08:58:45
taroosg,hoge@example.com,赤,フランス イタリア スペイン オーストラリア ニュージーランド,2020/06/02/08:59:01
